model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa2-1,34,0.0001,1024,0.6061,0.5966,0.6061,0.6005,0.3314,0.0502,0.0095,0.0028,0.9375,0.9877,0.9972
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa2-2,34,0.0001,1024,0.607,0.6081,0.607,0.6072,0.334,0.0478,0.0088,0.0025,0.9409,0.9887,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa2-3,34,0.0001,1024,0.605,0.5955,0.605,0.5993,0.3317,0.0512,0.0093,0.0029,0.9367,0.9878,0.9971
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa2-4,34,0.0001,1024,0.6026,0.595,0.6026,0.5982,0.3348,0.0509,0.0094,0.0024,0.9374,0.9883,0.9976
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa2-5,34,0.0001,1024,0.6118,0.6076,0.6118,0.6094,0.3286,0.0474,0.0095,0.0027,0.9404,0.9878,0.9973
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa2-1,34,7.5e-05,1024,0.6243,0.6236,0.6243,0.6234,0.3151,0.0424,0.0112,0.007,0.9394,0.9818,0.993
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa2-2,34,7.5e-05,1024,0.6226,0.6167,0.6226,0.619,0.3145,0.0431,0.012,0.0077,0.9372,0.9802,0.9923
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa2-3,34,7.5e-05,1024,0.6234,0.6176,0.6234,0.6195,0.3132,0.0435,0.0123,0.0077,0.9366,0.9801,0.9923
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa2-4,34,7.5e-05,1024,0.6235,0.6223,0.6235,0.6226,0.3159,0.0418,0.0115,0.0073,0.9394,0.9812,0.9927
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa2-5,34,7.5e-05,1024,0.6233,0.6198,0.6233,0.6206,0.3142,0.0431,0.012,0.0074,0.9375,0.9807,0.9926
